月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,16,9,1.37,2.953001884,17.64292139,103.9547492,65.05581861,18,-47
1,16,10,2.4,3.089964658,182.6715181,189.0745447,66.92359056,26,-35
1,16,11,3.61,3.142539638,186.9627264,231.3197853,70.98464389,32,-20
1,16,12,3.96,2.934920175,36.19815417,229.2722328,75.84758639,34,-4
1,16,13,4.28,2.909483427,38.43233194,227.8349661,77.59240917,33,13
1,16,14,3.84,3.02470269,647.636125,129.0214753,73.85795194,29,28
1,16,15,4.14,3.028441844,315.5446339,158.1689258,75.02853167,22,42
1,16,16,3.68,3.05468095,22.133275,89.77433111,72.70742611,13,53
1,16,17,2.6,3.056888603,0,0,68.27498417,2,62
1,16,18,1.41,3.171162276,0,0,61.62713806,-9,71
1,16,19,0.88,3.19314768,0,0,59.16161306,-21,78
1,16,20,0.29,3.194492216,0,0,56.8044125,-33,86
1,16,21,-0.07,3.300118919,0,0,53.70056806,-46,85
1,16,22,-0.38,3.262948982,0,0,53.07446528,-58,74
1,16,23,-0.6,3.283258787,0,0,51.89089667,-69,55
1,16,24,-0.78,3.23655105,0,0,51.93239639,-76,13
1,17,1,-1.16,3.081147635,0,0,52.96954028,-73,-39
1,17,2,-1.73,2.920720733,0,0,53.42872667,-63,-67
1,17,3,-1.98,2.899823678,0,0,52.81796333,-51,-80
1,17,4,-2.37,2.848772676,0,0,52.18732167,-39,-90
1,17,5,-2.3,2.895618546,0,0,51.65979556,-27,-82
1,17,6,-2.17,2.923747874,0,0,51.68392028,-14,-74
1,17,7,-2.22,2.945061611,0,0,51.13378222,-3,-66
1,17,8,-0.84,3.222303481,1033.641684,22.28993722,51.92656639,8,-58
1,17,9,0.05,3.123860786,925.924955,50.67430361,57.00203194,18,-47
